dato,type,km,minutter,navn,kilde
2026-06-02,Løp,21.9,150,Løping 22 km Porsgrunn,Strava
2026-06-04,Løp,5.4,36,Løping,Strava
2026-06-10,Løp,5.7,48,Løping,Strava
2026-06-14,Løp,5.6,36,S5,Strava
2026-06-14,Styrke,0,91,Pull,Strava
2026-06-14,Styrke,0,108,Push,Strava
2026-06-15,Styrke,0,58,Styrketrening,Strava
2026-06-19,Løp,6.4,38,Løpetur,Strava
2026-06-22,Løp,6.4,52,Løping,Strava
2026-06-24,Løp,15.1,112,Løping 15 km,Strava
2026-06-26,Løp,2.7,13,Løping,Strava
2026-06-28,Løp,21.1,154,Løping 21 km,Strava
2026-06-29,Løp,4.2,27,Løping,Strava
2026-07-02,Løp,4.9,32,Løping,Strava
2026-07-03,Løp,4,27,Løpetur,Strava
2026-07-07,Løp,8.9,61,Løping,Strava
2026-07-12,Løp,5.6,42,Løping,Strava
2026-07-17,Løp,16.1,113,Løping 16 km,Strava
2026-07-18,Løp,17.8,172,Løping Birkenes,Strava
2026-07-20,Løp,5.1,26,Løping,Strava
2026-07-21,Løp,5.2,27,Løping,Strava
2026-07-22,Løp,5.4,43,Løping,Strava
2026-07-23,Løp,10.1,55,Løping 10 km,Strava
2026-07-25,Løp,6.1,39,Løping,Strava
2026-07-26,Løp,5.1,31,Brick run,Strava
2026-07-26,Sykkel,0,30,Sykkel innendørs,Strava
2026-07-27,Løp,9.1,64,Løping Lillesand,Strava
2026-07-29,Løp,5,23,5 km 22:40,Strava
2026-07-30,Løp,6.4,41,Løping,Strava
2026-07-30,Styrke,0,35,Styrketrening,Strava
2026-07-31,Styrke,0,36,Styrketrening,Strava
2026-07-31,Sykkel,0,91,Sykkel innendørs,Strava
2026-08-01,Løp,21.5,143,Løping 21 km,Strava
2026-08-01,Styrke,0,34,Styrketrening,Strava
2026-08-03,Løp,5.7,38,Løping,Strava
2026-08-03,Styrke,0,57,Styrketrening,Strava
2026-08-04,Løp,1.6,9,Oppvarming,Strava
2026-08-04,Løp,4.8,25,4x4,Strava
2026-08-06,Løp,5.4,36,Løping,Strava
2026-08-07,Løp,21.3,150,Løping 21 km,Strava
2026-08-08,Løp,11.3,63,Løping,Strava
2026-08-13,Løp,5.8,38,Evening Run,Strava
2026-08-14,Løp,5,26,Morning Run,Strava
2026-08-16,Løp,5.6,40,Løping,Strava
2026-08-17,Løp,5.6,43,Rolig terreng,Strava
2026-08-17,Styrke,0,47,Styrketrening,Strava
2026-08-18,Løp,10,53,Løping 10 km,Strava
2026-08-18,Styrke,0,41,Styrketrening,Strava
2026-08-19,Løp,5,30,Løping,Strava
2026-08-19,Styrke,0,54,Styrketrening,Strava
2026-08-24,Løp,7.2,48,Rolig kveldsrunde,Strava
2026-08-25,Løp,5.1,26,Løping,Strava
2026-08-26,Løp,10.1,59,Øving til Grimstad Maraton,Strava
2026-08-29,Løp,5.3,28,Løping Porsgrunn,Strava
2026-08-31,Løp,5.2,27,Løping,Strava
2026-09-01,Løp,5,30,Terrengløp,Strava
2026-09-01,Løp,5.2,33,Rolig med Emil og Øiv,Strava
2026-09-02,Løp,5,23,Evening Run – nye sko,Strava
2026-09-04,Løp,10,46,Løping 10 km,Strava
2026-09-05,Sykkel,30.7,75,Sykkeltur,Strava
2026-09-09,Sykkel,35.4,83,Sykkeltur,Strava
2026-09-11,Styrke,0,32,Styrketrening,Strava
2026-09-12,Løp,21.3,110,Halvmaraton Grimstad Maraton – 1:48:57,Strava
2026-09-15,Styrke,0,43,Ettermiddag med styrketrening (Pull),Strava
