okt,ovelse,sett_rep,vekt,reps
Push,DB Bench Press / Bench Press,3x6-8,28/60,
Push,Smith Incline Bench Press,2x6-8,30,
Push,Pec Dec,2x8-10,40,
Push,Skull-Crushers / Overhead Ext.,2x8-10,30/22.5,
Push,Tricep Push Down,2x8-10,12.5/30,
Push,Cable Lat Raise,3x10-12,7.5,
Pull,Pullups,3x6-8,Strikk,3x10
Pull,T-bar Row,2x6-8,40,2x8
Pull,Close-Grip Cable Row,2x8-10,50,2x10
Pull,Reverse Fly,2x10-12,18,2x10
Pull,Preacher Curl,2x8-10,12/25,2x10
Pull,Hammer Curl,2x8-10,16,2x8
Pull,Shrugs,2x10-12,123,
Upper body,DB Incline Bench Press,3x6-8,24,
Upper body,Pull Downs,3x8-10,60,
Upper body,Dips,2x8-10,15,
Upper body,Chest Supported Row,2x8-10,,
Upper body,Reverse Flys,2x10-12,16,
Upper body,Lateral Raise,3x10-12,5,
Bein A – tung,Pendulum Squat,3x6-8,20,
Bein A – tung,Romanian Deadlift,3x6-8,70,
Bein A – tung,Bulgarian Split Squat,2x8/bein,56,
Bein A – tung,Lying Leg Curl,2x8-10,42.5,
Bein A – tung,"Calf Raise, rett kne",3x10-12,240,
Bein B – forebygg.,Sidegange med strikk,2x10 hver vei,strikk,
Bein B – forebygg.,Hip Thrust,3x8-10,,
Bein B – forebygg.,Abductor,3x10-12,,
Bein B – forebygg.,Adductor,2x10-12,40,
Bein B – forebygg.,Step-up (høy kasse),2x10/bein,,
Bein B – forebygg.,Clamshell,2x15/side,strikk,
Bein B – forebygg.,Copenhagen Plank,2x20-30 s/side,-,
Bein B – forebygg.,"Calf Raise, bøyd kne",3x12-15,,
Bein B – forebygg.,Tåhopp / hoppetau,3x20 kontakter,-,
